Year,Country,Region,Wave,LIS Dataset,Gross / net,"Primary
income (a)","Gross
income (b)","Disposable
income (c)",Absolute (a-c),"Relative 
(a-c)/a*100","Old-age/ 
Disability/ 
Survivor",Sickness,"Family/ 
Children",Education,Unemployment ,Housing,"General/food/ medical
assistance",Other transfers,"Income
taxes",Residual,"Residual / total 
redistribution","Ratio other transfers / 
total transfers",,Year,Country,Region,Wave,LIS Dataset,Gross / net,"Relative fiscal
redistribution","Total
redistribution","Old-age/ 
Disability/ 
Survivor",Sickness,"Family/ 
Children",Education,Unemployment ,Housing,"General/food/ medical
assistance",Other transfers,"Income
taxes",Residual
1989,DE,EU15,Wave III,Germany 1989,Gross,0.438,0.305,0.258,0.18,41%,0.113,,0.007,0.001,0.006,0.002,0.002,0.003,0.047,0,0.00%,1.50%,,1989,DE,EU15,Wave III,Germany 1989,Gross,41%,100%,63%,,4%,0%,3%,1%,1%,1%,26%,0%
1984,DE,EU15,Wave II,Germany 1984,Gross,0.442,0.307,0.265,0.177,40%,0.114,,0.007,0.001,0.008,0.002,0.003,0,0.042,0,0.00%,0.20%,,1984,DE,EU15,Wave II,Germany 1984,Gross,40%,100%,65%,,4%,1%,4%,1%,1%,0%,24%,0%
1983,DE,EU15,Wave II,Germany 1983,Gross,0.415,0.284,0.26,0.154,37%,0.107,,0.005,,0.004,,,0.013,0.024,0,-0.10%,8.70%,,1983,DE,EU15,Wave II,Germany 1983,Gross,37%,100%,69%,,3%,,3%,,,9%,16%,0%
1981,DE,EU15,Wave I,Germany 1981,Gross,0.405,0.273,0.244,0.161,40%,0.098,,0.008,,0.002,,,0.024,0.029,0,-0.10%,14.80%,,1981,DE,EU15,Wave I,Germany 1981,Gross,40%,100%,61%,,5%,,1%,,,15%,18%,0%
1978,DE,EU15,Historical wave,Germany 1978,Gross,0.415,0.289,0.263,0.152,37%,0.11,,0.006,,0.002,,,0.008,0.027,0,0.00%,5.00%,,1978,DE,EU15,Historical wave,Germany 1978,Gross,37%,100%,72%,,4%,,2%,,,5%,18%,0%
1973,DE,EU15,Historical wave,Germany 1973,Gross,0.377,0.287,0.271,0.106,28%,0.022,,,,,,,0.069,0.016,0,0.00%,64.40%,,1973,DE,EU15,Historical wave,Germany 1973,Gross,28%,100%,21%,,,,,,,64%,15%,0%
2013,GR,EU15,Wave IX,Greece 2013,Gross,0.567,0.41,0.332,0.235,41%,0.144,0,0.005,0,0.005,0,,0.003,0.078,0,0.00%,1.20%,,2013,GR,EU15,Wave IX,Greece 2013,Gross,41%,100%,61%,0%,2%,0%,2%,0%,,1%,33%,0%
2010,GR,EU15,Wave VIII,Greece 2010,Gross,0.564,0.445,0.324,0.24,43%,0.112,0,0.003,0,0.005,0,,0,0.121,-0.001,-0.30%,0.10%,,2010,GR,EU15,Wave VIII,Greece 2010,Gross,43%,100%,47%,0%,1%,0%,2%,0%,,0%,50%,0%
2007,GR,EU15,Wave VII,Greece 2007,Gross,0.515,0.409,0.32,0.195,38%,0.101,0,0.001,0,0.002,0.001,,0.001,0.089,0,0.00%,0.30%,,2007,GR,EU15,Wave VII,Greece 2007,Gross,38%,100%,52%,0%,1%,0%,1%,0%,,0%,46%,0%
2004,GR,EU15,Wave VI,Greece 2004,Net,0.458,0.327,0.327,0.131,29%,0.117,0.001,0.003,0,0.003,0,0.002,0,,0.004,3.30%,0.00%,,2004,GR,EU15,Wave VI,Greece 2004,Net,29%,100%,89%,0%,2%,0%,3%,0%,2%,0%,,3%
2000,GR,EU15,Wave V,Greece 2000,Net,0.465,0.333,0.333,0.132,28%,0.122,0.001,0.003,0,0.002,0,0,0.001,,0.003,2.50%,0.70%,,2000,GR,EU15,Wave V,Greece 2000,Net,28%,100%,92%,1%,2%,0%,1%,0%,0%,1%,,2%
1995,GR,EU15,Wave IV,Greece 1995,Net,0.462,0.349,0.349,0.113,24%,0.106,0.001,0.004,0,0.001,0,0.001,0.001,,0,-0.10%,0.60%,,1995,GR,EU15,Wave IV,Greece 1995,Net,24%,100%,94%,1%,3%,0%,0%,0%,1%,1%,,0%
2014,GT,Latin America,Wave IX,Guatemala 2014,Gross,0.427,0.424,0.394,0.034,8%,-0.001,,,0,,,0.003,0.002,0.03,0,0.00%,5.70%,,2014,GT,Latin America,Wave IX,Guatemala 2014,Gross,8%,100%,-3%,,,1%,,,8%,6%,89%,0%
2011,GT,Latin America,Wave VIII,Guatemala 2011,Gross,0.493,0.492,0.481,0.012,3%,0,,,0,,,0,0.001,0.011,0,0.00%,4.50%,,2011,GT,Latin America,Wave VIII,Guatemala 2011,Gross,3%,100%,3%,,,1%,,,4%,4%,88%,0%
2006,GT,Latin America,Wave VI,Guatemala 2006,Gross,0.49,0.485,0.472,0.018,4%,-0.001,,,0.002,,0,0.004,0,0.013,0,-0.30%,1.20%,,2006,GT,Latin America,Wave VI,Guatemala 2006,Gross,4%,100%,-4%,,,12%,,2%,21%,1%,69%,0%
2012,HU,CEE,Wave IX,Hungary 2012,Net,0.586,0.289,0.289,0.297,51%,0.066,0.133,0.009,,0.134,0,,0.138,,-0.183,-61.50%,46.40%,,2012,HU,CEE,Wave IX,Hungary 2012,Net,51%,100%,22%,45%,3%,,45%,0%,,46%,,-61%
2009,HU,CEE,Wave VIII,Hungary 2009,Net,0.558,0.278,0.278,0.28,50%,0.078,0.125,0.008,,0.125,-0.001,,0.131,,-0.185,-66.10%,46.80%,,2009,HU,CEE,Wave VIII,Hungary 2009,Net,50%,100%,28%,45%,3%,,45%,0%,,47%,,-66%
2007,HU,CEE,Wave VII,Hungary 2007,Net,0.543,0.274,0.274,0.268,49%,0.063,0.123,0.009,,0.124,0,,0.126,,-0.176,-65.80%,47.10%,,2007,HU,CEE,Wave VII,Hungary 2007,Net,49%,100%,23%,46%,3%,,46%,0%,,47%,,-66%
2005,HU,CEE,Wave VI,Hungary 2005,Net,0.53,0.289,0.289,0.241,45%,0.177,0.001,0.034,,0.008,0.001,,0.02,,-0.001,-0.30%,8.30%,,2005,HU,CEE,Wave VI,Hungary 2005,Net,45%,100%,74%,0%,14%,,4%,0%,,8%,,0%
1999,HU,CEE,Wave V,Hungary 1999,Net,0.513,0.292,0.292,0.22,43%,0.171,0.001,0.033,,0.01,,,0.002,,0.002,1.10%,1.10%,,1999,HU,CEE,Wave V,Hungary 1999,Net,43%,100%,78%,1%,15%,,4%,,,1%,,1%
1994,HU,CEE,Wave IV,Hungary 1994,Net,0.543,0.319,0.319,0.224,41%,0.151,0.005,0.038,,0.01,,,0.015,,0.005,2.20%,6.70%,,1994,HU,CEE,Wave IV,Hungary 1994,Net,41%,100%,67%,2%,17%,,5%,,,7%,,2%
1991,HU,CEE,Wave III,Hungary 1991,Net,0.468,0.283,0.283,0.185,40%,0.125,0.002,0.038,,0.013,,,0.007,,0,0.00%,4.00%,,1991,HU,CEE,Wave III,Hungary 1991,Net,40%,100%,67%,1%,20%,,7%,,,4%,,0%
2010,IS,Europe - other,Wave VIII,Iceland 2010,Gross,0.393,0.287,0.245,0.149,38%,0.071,0,0.012,0,0.013,0.008,0.001,0,0.043,0,-0.10%,0.00%,,2010,IS,Europe - other,Wave VIII,Iceland 2010,Gross,38%,100%,48%,0%,8%,0%,9%,5%,1%,0%,29%,0%
2007,IS,Europe - other,Wave VII,Iceland 2007,Gross,0.375,0.302,0.276,0.099,26%,0.055,0,0.011,0,0.001,0.004,0.001,0,0.026,0,0.00%,0.00%,,2007,IS,Europe - other,Wave VII,Iceland 2007,Gross,26%,100%,56%,0%,12%,0%,1%,4%,1%,0%,26%,0%
2004,IS,Europe - other,Wave VI,Iceland 2004,Gross,0.367,0.286,0.255,0.112,31%,0.06,0,0.011,0,0.003,0.005,0.001,0,0.031,0,0.00%,0.00%,,2004,IS,Europe - other,Wave VI,Iceland 2004,Gross,31%,100%,54%,0%,10%,0%,3%,5%,1%,0%,28%,0%
2011,IN,BRICS,Wave VIII,India 2011,Net,0.492,0.479,0.479,0.013,3%,0.003,,0,,0,0.001,0.008,0,,0,-0.90%,2.10%,,2011,IN,BRICS,Wave VIII,India 2011,Net,3%,100%,27%,,2%,,0%,9%,61%,2%,,-1%
2004,IN,BRICS,Wave VI,India 2004,Net,0.479,0.472,0.472,0.007,1%,0,,0,,0,0.002,0.005,0,,0,-0.10%,0.00%,,2004,IN,BRICS,Wave VI,India 2004,Net,1%,100%,0%,,0%,,1%,32%,67%,0%,,0%
2010,IE,EU15,Wave VIII,Ireland 2010,Gross,0.564,0.366,0.294,0.27,48%,0.079,0.008,0.04,0.001,0.052,0.008,0.003,0.007,0.071,0,0.20%,2.40%,,2010,IE,EU15,Wave VIII,Ireland 2010,Gross,48%,100%,29%,3%,15%,0%,19%,3%,1%,2%,26%,0%
2007,IE,EU15,Wave VII,Ireland 2007,Gross,0.501,0.348,0.297,0.204,41%,0.073,0.007,0.035,0.001,0.023,0.005,0.002,0.008,0.051,0,0.00%,4.00%,,2007,IE,EU15,Wave VII,Ireland 2007,Gross,41%,100%,36%,3%,17%,0%,11%,2%,1%,4%,25%,0%
2004,IE,EU15,Wave VI,Ireland 2004,Gross,0.496,0.362,0.317,0.179,36%,0.069,0.005,0.031,0,0.016,0.005,0.002,0.005,0.045,0,0.20%,2.90%,,2004,IE,EU15,Wave VI,Ireland 2004,Gross,36%,100%,39%,3%,18%,0%,9%,3%,1%,3%,25%,0%
2000,IE,EU15,Wave V,Ireland 2000,Net,0.44,0.313,0.313,0.127,29%,0.071,0.004,0.023,0.001,0.016,0.002,,0.005,,0.005,4.20%,4.00%,,2000,IE,EU15,Wave V,Ireland 2000,Net,29%,100%,56%,3%,18%,1%,13%,1%,,4%,,4%
1996,IE,EU15,Wave IV,Ireland 1996,Net,0.481,0.325,0.325,0.156,32%,0.074,0.005,0.025,0.002,0.046,0.003,0.001,0.001,,-0.001,-0.50%,0.30%,,1996,IE,EU15,Wave IV,Ireland 1996,Net,32%,100%,48%,3%,16%,1%,30%,2%,1%,0%,,0%
1995,IE,EU15,Wave IV,Ireland 1995,Net,0.49,0.336,0.336,0.154,31%,0.075,0.005,0.025,0.002,0.044,0.003,0.001,0,,-0.001,-0.70%,0.30%,,1995,IE,EU15,Wave IV,Ireland 1995,Net,31%,100%,48%,3%,16%,1%,29%,2%,1%,0%,,-1%
1994,IE,EU15,Wave IV,Ireland 1994,Net,0.5,0.333,0.333,0.167,33%,0.076,0.005,0.022,0.002,0.057,0.003,0.002,0,,-0.001,-0.40%,0.20%,,1994,IE,EU15,Wave IV,Ireland 1994,Net,33%,100%,46%,3%,13%,1%,34%,2%,1%,0%,,0%
1987,IE,EU15,Wave II,Ireland 1987,Gross,0.51,0.373,0.328,0.181,36%,0.038,0.009,0.012,,0.016,,,0.062,0.044,0,-0.10%,34.40%,,1987,IE,EU15,Wave II,Ireland 1987,Gross,36%,100%,21%,5%,7%,,9%,,,34%,24%,0%
2012,IL,Middle East,Wave IX,Israel 2012,Gross,0.494,0.41,0.371,0.123,25%,0.055,,0.01,,0.003,,0.005,0.011,0.039,0,-0.10%,8.60%,,2012,IL,Middle East,Wave IX,Israel 2012,Gross,25%,100%,45%,,9%,,2%,,4%,9%,32%,0%
2010,IL,Middle East,Wave VIII,Israel 2010,Gross,0.506,0.417,0.377,0.129,25%,0.055,,0.011,,0.005,,0.006,0.012,0.04,0,0.00%,9.50%,,2010,IL,Middle East,Wave VIII,Israel 2010,Gross,25%,100%,43%,,8%,,4%,,4%,9%,31%,0%
2007,IL,Middle East,Wave VII,Israel 2007,Gross,0.512,0.417,0.369,0.143,28%,0.059,,0.011,,0.004,,0.008,0.012,0.049,0,0.00%,8.60%,,2007,IL,Middle East,Wave VII,Israel 2007,Gross,28%,100%,42%,,8%,,2%,,6%,9%,34%,0%
2005,IL,Middle East,Wave VI,Israel 2005,Gross,0.517,0.416,0.37,0.146,28%,0.063,,0.012,0,0.003,,0.011,0.013,0.045,0,0.00%,8.80%,,2005,IL,Middle East,Wave VI,Israel 2005,Gross,28%,100%,43%,,8%,0%,2%,,7%,9%,31%,0%
2001,IL,Middle East,Wave V,Israel 2001,Gross,0.53,0.41,0.347,0.183,35%,0.06,,0.022,0,0.008,,0.014,0.016,0.063,0,-0.10%,8.60%,,2001,IL,Middle East,Wave V,Israel 2001,Gross,35%,100%,33%,,12%,0%,4%,,8%,9%,34%,0%
1997,IL,Middle East,Wave IV,Israel 1997,Gross,0.495,0.393,0.336,0.159,32%,0.051,,0.021,,0.006,,0.008,0.016,0.057,0,0.00%,10.10%,,1997,IL,Middle East,Wave IV,Israel 1997,Gross,32%,100%,32%,,13%,,4%,,5%,10%,36%,0%
1992,IL,Middle East,Wave III,Israel 1992,Gross,0.467,0.363,0.305,0.161,35%,0.052,0.006,0.015,,0.006,,,0.025,0.057,0,-0.10%,15.50%,,1992,IL,Middle East,Wave III,Israel 1992,Gross,35%,100%,32%,3%,10%,,4%,,,16%,35%,0%
1986,IL,Middle East,Wave II,Israel 1986,Gross,0.473,0.373,0.309,0.165,35%,0.06,,0.023,,0.003,,,0.014,0.065,0,0.00%,8.80%,,1986,IL,Middle East,Wave II,Israel 1986,Gross,35%,100%,36%,,14%,,2%,,,9%,39%,0%
1979,IL,Middle East,Wave I,Israel 1979,Gross,0.427,0.358,0.303,0.124,29%,0.041,,0.018,,,,,0.01,0.055,0,0.00%,8.00%,,1979,IL,Middle East,Wave I,Israel 1979,Gross,29%,100%,33%,,14%,,,,,8%,45%,0%
2014,IT,EU15,Wave IX,Italy 2014,Net,0.489,0.319,0.319,0.17,35%,0.163,,,0,0.005,,0,0.001,,0,0.10%,0.80%,,2014,IT,EU15,Wave IX,Italy 2014,Mix,35%,100%,96%,,,0%,3%,,,1%,,0%
2010,IT,EU15,Wave VIII,Italy 2010,Net,0.482,0.32,0.32,0.162,34%,0.156,,,0,0.005,,0,0.001,,0,0.00%,0.70%,,2010,IT,EU15,Wave VIII,Italy 2010,Mix,34%,100%,96%,,,0%,3%,,,1%,,0%
2008,IT,EU15,Wave VII,Italy 2008,Net,0.47,0.319,0.319,0.151,32%,0.148,,,0,0.002,,0,0.001,,0,0.00%,0.50%,,2008,IT,EU15,Wave VII,Italy 2008,Mix,32%,100%,98%,,,0%,1%,,,0%,,0%
2004,IT,EU15,Wave VI,Italy 2004,Net,0.486,0.329,0.329,0.158,32%,0.154,,,0,0.003,,0,0.001,,0,0.00%,0.40%,,2004,IT,EU15,Wave VI,Italy 2004,Mix,32%,100%,98%,,0%,0%,2%,,0%,0%,,0%
2000,IT,EU15,Wave V,Italy 2000,Net,0.467,0.328,0.328,0.14,30%,0.136,,,0,0.003,,0,0.001,,0,0.00%,0.60%,,2000,IT,EU15,Wave V,Italy 2000,Net,30%,100%,97%,,,0%,2%,,0%,1%,,0%
1998,IT,EU15,Wave V,Italy 1998,Net,0.474,0.34,0.34,0.134,28%,0.131,,,0,0.003,,0,0,,0,0.00%,0.20%,,1998,IT,EU15,Wave V,Italy 1998,Net,28%,100%,98%,,,0%,2%,,0%,0%,,0%
1995,IT,EU15,Wave IV,Italy 1995,Net,0.47,0.336,0.336,0.134,29%,0.129,,,0,0.004,,0,0.001,,0,0.00%,0.70%,,1995,IT,EU15,Wave IV,Italy 1995,Net,29%,100%,96%,,,0%,3%,,0%,1%,,0%
1993,IT,EU15,Wave IV,Italy 1993,Net,0.472,0.339,0.339,0.132,28%,0.128,,,0,,,0.003,0.001,,0,0.00%,1.10%,,1993,IT,EU15,Wave IV,Italy 1993,Net,28%,100%,97%,,,0%,,,2%,1%,,0%
1991,IT,EU15,Wave III,Italy 1991,Net,0.415,0.291,0.291,0.124,30%,0.122,,,0,,,0.002,0.001,,0,0.00%,0.70%,,1991,IT,EU15,Wave III,Italy 1991,Net,30%,100%,98%,,,0%,,,2%,1%,,0%
1989,IT,EU15,Wave III,Italy 1989,Net,0.428,0.304,0.304,0.124,29%,0.122,,,0,,,0.001,0.001,,0,0.00%,0.50%,,1989,IT,EU15,Wave III,Italy 1989,Net,29%,100%,98%,,,0%,,,1%,0%,,0%
1987,IT,EU15,Wave II,Italy 1987,Net,0.452,0.332,0.332,0.12,27%,0.117,,,0,,,0.002,0.001,,0,0.00%,0.50%,,1987,IT,EU15,Wave II,Italy 1987,Net,27%,100%,97%,,,0%,,,2%,1%,,0%
1986,IT,EU15,Wave II,Italy 1986,Net,0.424,0.306,0.306,0.118,28%,0.112,,,,,,,0.006,,0,0.00%,5.00%,,1986,IT,EU15,Wave II,Italy 1986,Net,28%,100%,95%,,,,,,,5%,,0%
2008,JP,South-East Asia,Wave VII,Japan 2008,Gross,0.382,0.321,0.302,0.08,21%,-0.005,,0.003,,,,0.001,0.063,0.019,0,0.00%,77.90%,,2008,JP,South-East Asia,Wave VII,Japan 2008,Gross,21%,100%,-6%,,3%,,,,1%,78%,24%,0%
2013,LU,EU15,Wave IX,Luxembourg 2013,Gross,0.475,0.317,0.283,0.192,40%,0.116,0.001,0.023,0.001,0.008,0.001,0.007,0.002,0.034,0,-0.10%,0.90%,,2013,LU,EU15,Wave IX,Luxembourg 2013,Gross,40%,100%,60%,0%,12%,0%,4%,1%,4%,1%,18%,0%
2010,LU,EU15,Wave VIII,Luxembourg 2010,Gross,0.462,0.304,0.271,0.191,41%,0.115,0.001,0.023,0.001,0.008,0.001,0.007,0.002,0.034,0,-0.20%,1.10%,,2010,LU,EU15,Wave VIII,Luxembourg 2010,Gross,41%,100%,60%,1%,12%,0%,4%,1%,4%,1%,18%,0%
2007,LU,EU15,Wave VIII,Luxembourg 2007,Gross,0.456,0.309,0.276,0.18,39%,0.114,0.001,0.02,0.001,0.004,0,0.004,0.002,0.033,0,0.00%,1.20%,,2007,LU,EU15,Wave VIII,Luxembourg 2007,Gross,39%,100%,64%,1%,11%,0%,2%,0%,2%,1%,19%,0%
2004,LU,EU15,Wave VI,Luxembourg 2004,Gross,0.454,0.307,0.269,0.184,41%,0.112,0,0.021,0,0.008,0.001,,0.004,0.037,0,-0.10%,2.30%,,2004,LU,EU15,Wave VI,Luxembourg 2004,Gross,41%,100%,61%,0%,11%,0%,4%,1%,,2%,20%,0%
2000,LU,EU15,Wave V,Luxembourg 2000,Net,0.428,0.262,0.262,0.166,39%,0.132,0.001,0.025,0,0.002,,0.006,0.001,,0,-0.10%,0.40%,,2000,LU,EU15,Wave V,Luxembourg 2000,Net,39%,100%,79%,1%,15%,0%,1%,,4%,0%,,0%
1997,LU,EU15,Wave IV,Luxembourg 1997,Net,0.432,0.261,0.261,0.171,40%,0.132,0.002,0.024,0,0.003,,0.006,0.004,,0,0.20%,2.10%,,1997,LU,EU15,Wave IV,Luxembourg 1997,Net,40%,100%,78%,1%,14%,0%,2%,,3%,2%,,0%
1994,LU,EU15,Wave IV,Luxembourg 1994,Net,0.388,0.235,0.235,0.153,39%,0.122,0.001,0.018,0,0.001,,0.004,0.006,,0,-0.10%,4.20%,,1994,LU,EU15,Wave IV,Luxembourg 1994,Net,39%,100%,80%,1%,11%,0%,1%,,3%,4%,,0%
1991,LU,EU15,Wave III,Luxembourg 1991,Net,0.372,0.239,0.239,0.134,36%,0.111,0.002,0.013,,0,,,0.008,,0,-0.10%,5.80%,,1991,LU,EU15,Wave III,Luxembourg 1991,Net,36%,100%,83%,1%,10%,,0%,,,6%,,0%
1985,LU,EU15,Wave II,Luxembourg 1985,Net,0.375,0.236,0.236,0.139,37%,0.119,0,0.015,0.001,0.002,,,0.005,,-0.001,-0.80%,3.40%,,1985,LU,EU15,Wave II,Luxembourg 1985,Net,37%,100%,85%,0%,11%,0%,1%,,,3%,,-1%
2012,MX,Latin America,Wave IX,Mexico 2012,Net,0.486,0.459,0.459,0.027,6%,0.004,0,,0.001,0,,0,0.017,,0.005,18.20%,63.70%,,2012,MX,Latin America,Wave IX,Mexico 2012,Net,6%,100%,16%,0%,,2%,-1%,,1%,64%,,18%
2010,MX,Latin America,Wave VIII,Mexico 2010,Net,0.487,0.455,0.455,0.031,6%,0.007,0,,0.001,0,,0,0.017,,0.006,20.30%,54.60%,,2010,MX,Latin America,Wave VIII,Mexico 2010,Net,6%,100%,23%,0%,,2%,0%,,1%,55%,,20%
2008,MX,Latin America,Wave VII,Mexico 2008,Net,0.497,0.469,0.469,0.028,6%,0.005,0,,0.001,0,,,0.016,,0.007,25.00%,55.60%,,2008,MX,Latin America,Wave VII,Mexico 2008,Net,6%,100%,18%,-1%,,2%,0%,,,56%,,25%
2004,MX,Latin America,Wave VI,Mexico 2004,Net,0.473,0.457,0.457,0.016,3%,0.007,,,0,,,,0.009,,0,0.70%,57.30%,,2004,MX,Latin America,Wave VI,Mexico 2004,Net,3%,100%,40%,,,2%,,,,57%,,1%
2002,MX,Latin America,Wave V,Mexico 2002,Net,0.484,0.468,0.468,0.016,3%,0.006,,,0.001,,,,0.009,,0,-1.20%,57.30%,,2002,MX,Latin America,Wave V,Mexico 2002,Net,3%,100%,37%,,,7%,,,,57%,,-1%
2000,MX,Latin America,Wave V,Mexico 2000,Net,0.491,0.486,0.486,0.006,1%,0.004,,,,,,,0.002,,0,1.70%,30.40%,,2000,MX,Latin America,Wave V,Mexico 2000,Net,1%,100%,68%,,,,,,,30%,,2%
1998,MX,Latin America,Wave V,Mexico 1998,Net,0.494,0.486,0.486,0.007,1%,0.006,,,,,,,0.001,,0,1.30%,20.50%,,1998,MX,Latin America,Wave V,Mexico 1998,Net,1%,100%,78%,,,,,,,20%,,1%
1996,MX,Latin America,Wave IV,Mexico 1996,Net,0.478,0.47,0.47,0.009,2%,0.005,,,0.001,,,,0.003,,0,1.80%,33.10%,,1996,MX,Latin America,Wave IV,Mexico 1996,Net,2%,100%,57%,,,8%,,,,33%,,2%
1994,MX,Latin America,Wave IV,Mexico 1994,Net,0.495,0.485,0.485,0.011,2%,0.005,,,0.001,,,,0.005,,0,-1.40%,43.00%,,1994,MX,Latin America,Wave IV,Mexico 1994,Net,2%,100%,51%,,,8%,,,,43%,,-1%
1992,MX,Latin America,Wave III,Mexico 1992,Net,0.483,0.475,0.475,0.008,2%,0.007,,,0,,,,0,,0,0.00%,0.00%,,1992,MX,Latin America,Wave III,Mexico 1992,Net,2%,100%,96%,,,4%,,,,0%,,0%
1989,MX,Latin America,Wave III,Mexico 1989,Net,0.457,0.452,0.452,0.005,1%,0.005,,,0,,,,0,,0,0.00%,0.00%,,1989,MX,Latin America,Wave III,Mexico 1989,Net,1%,100%,104%,,,-4%,,,,0%,,0%
1984,MX,Latin America,Wave II,Mexico 1984,Net,0.431,0.43,0.43,0.001,0%,0.001,,,0,,,,0,,0,0.00%,0.00%,,1984,MX,Latin America,Wave II,Mexico 1984,Net,0%,100%,97%,,,3%,,,,0%,,0%
2013,NL,EU15,Wave VIII,Netherlands 2013,Gross,0.475,0.323,0.264,0.212,45%,0.118,0.002,0.006,0.003,0.009,0.005,0.012,0,0.06,-0.005,-2.20%,0.10%,,2013,NL,EU15,Wave VIII,Netherlands 2013,Gross,45%,100%,56%,1%,3%,2%,4%,3%,6%,0%,28%,-2%
2010,NL,EU15,Wave VIII,Netherlands 2010,Gross,0.461,0.318,0.257,0.205,44%,0.115,0.002,0.007,0.004,0.007,0.005,0.011,-0.001,0.061,-0.007,-3.30%,-0.50%,,2010,NL,EU15,Wave VIII,Netherlands 2010,Gross,44%,100%,56%,1%,3%,2%,3%,3%,5%,-1%,30%,-3%
2007,NL,EU15,Wave VII,Netherlands 2007,Gross,0.468,0.331,0.274,0.194,41%,0.109,0.001,0.005,0.004,0.005,0.005,0.009,0.003,0.057,-0.003,-1.70%,1.40%,,2007,NL,EU15,Wave VII,Netherlands 2007,Gross,41%,100%,56%,1%,2%,2%,3%,2%,4%,1%,29%,-2%
2004,NL,EU15,Wave VI,Netherlands 2004,Gross,0.461,0.309,0.266,0.195,42%,0.111,0.002,0.006,0.003,0.009,0.005,,0.018,0.044,-0.001,-0.70%,9.20%,,2004,NL,EU15,Wave VI,Netherlands 2004,Gross,42%,100%,57%,1%,3%,2%,4%,3%,,9%,22%,-1%
1999,NL,EU15,Wave V,Netherlands 1999,Gross,0.426,0.274,0.231,0.196,46%,0.125,0.001,0.008,0.002,0.006,0.002,0.008,0,0.043,0,0.00%,0.00%,,1999,NL,EU15,Wave V,Netherlands 1999,Gross,46%,100%,64%,1%,4%,1%,3%,1%,4%,0%,22%,0%
1993,NL,EU15,Wave IV,Netherlands 1993,Gross,0.46,0.3,0.257,0.203,44%,0.118,0.001,0.01,0.004,0.016,0.002,0.009,0.001,0.042,0,-0.10%,0.30%,,1993,NL,EU15,Wave IV,Netherlands 1993,Gross,44%,100%,58%,1%,5%,2%,8%,1%,5%,0%,21%,0%
1990,NL,EU15,Wave III,Netherlands 1990,Gross,0.451,0.287,0.266,0.185,41%,0.121,0.003,0.009,,0.004,,,0.026,0.022,0,-0.10%,14.20%,,1990,NL,EU15,Wave III,Netherlands 1990,Gross,41%,100%,65%,2%,5%,,2%,,,14%,12%,0%
1987,NL,EU15,Wave II,Netherlands 1987,Gross,0.475,0.287,0.236,0.24,50%,0.109,,0.009,0.021,0.012,,,0.037,0.052,0,-0.10%,15.40%,,1987,NL,EU15,Wave II,Netherlands 1987,Gross,50%,100%,45%,,4%,9%,5%,,,15%,22%,0%
1983,NL,EU15,Wave II,Netherlands 1983,Gross,0.483,0.296,0.252,0.231,48%,0.107,,0.01,0.028,0.019,,,0.024,0.044,0,-0.10%,10.30%,,1983,NL,EU15,Wave II,Netherlands 1983,Gross,48%,100%,46%,,4%,12%,8%,,,10%,19%,0%
2013,NO,Europe - other,Wave IX,Norway 2013,Gross,0.446,0.293,0.248,0.198,44%,0.119,0.008,0.011,0.003,0.004,0.002,0.003,0.005,0.044,0,-0.20%,2.30%,,2013,NO,Europe - other,Wave IX,Norway 2013,Gross,44%,100%,60%,4%,6%,1%,2%,1%,2%,2%,22%,0%
2010,NO,Europe - other,Wave VIII,Norway 2010,Gross,0.447,0.287,0.243,0.204,46%,0.118,0.009,0.012,0.004,0.005,0.002,0.003,0.007,0.044,-0.001,-0.30%,3.50%,,2010,NO,Europe - other,Wave VIII,Norway 2010,Gross,46%,100%,58%,4%,6%,2%,3%,1%,2%,4%,22%,0%
2007,NO,Europe - other,Wave VII,Norway 2007,Gross,0.439,0.286,0.244,0.195,44%,0.107,0.008,0.014,0.004,0.002,0.002,0.004,0.014,0.042,0,-0.20%,7.10%,,2007,NO,Europe - other,Wave VII,Norway 2007,Gross,44%,100%,55%,4%,7%,2%,1%,1%,2%,7%,22%,0%
2004,NO,Europe - other,Wave VI,Norway 2004,Gross,0.456,0.293,0.256,0.201,44%,0.106,0.021,0.018,0.005,0.007,0.002,0.005,0,0.037,0,-0.20%,0.00%,,2004,NO,Europe - other,Wave VI,Norway 2004,Gross,44%,100%,53%,11%,9%,2%,3%,1%,3%,0%,18%,0%
2000,NO,Europe - other,Wave V,Norway 2000,Gross,0.428,0.291,0.25,0.178,42%,0.103,0.006,0.016,0.003,0.004,0.002,0.004,0,0.04,0,0.00%,0.10%,,2000,NO,Europe - other,Wave V,Norway 2000,Gross,42%,100%,58%,4%,9%,1%,2%,1%,2%,0%,23%,0%
1995,NO,Europe - other,Wave IV,Norway 1995,Gross,0.422,0.279,0.239,0.183,43%,0.109,,0.012,0.003,0.009,0.001,0.007,0.002,0.04,0,-0.10%,1.20%,,1995,NO,Europe - other,Wave IV,Norway 1995,Gross,43%,100%,60%,,6%,1%,5%,1%,4%,1%,22%,0%
1991,NO,Europe - other,Wave III,Norway 1991,Gross,0.392,0.271,0.231,0.16,41%,0.099,,0.011,,,,,0.01,0.04,0,0.00%,6.20%,,1991,NO,Europe - other,Wave III,Norway 1991,Gross,41%,100%,62%,,7%,,,,,6%,25%,0%
